Name,Artist,Album,Time,Genre,ID
The Animals Were,Damien Rice,9,3.41,Unknown,1
Elephant,Damien Rice,9,3.57,Unknown,2
Cannonball,Damien Rice,9,3.1,Unknown,3
Rootless Tree,Damien Rice,9,2.63,Unknown,4
Dogs,Damien Rice,9,2.5,Unknown,5
Coconut Skins,Damien Rice,9,2.25,Unknown,6
Me My Yoke And I,Damien Rice,9,3.56,Unknown,7
Grey Room,Damien Rice,9,3.43,Unknown,8
Accidental Babies,Damien Rice,9,3.93,Unknown,9
Nine Crimes,Damien Rice,9,2.18,Unknown,10
Fridays Child Andy Cato edit,Will Young,Groove Armada Late Night Tales,3.3,Electronic,11
Fridays Child Andy Cato edit,Will Young,Groove Armada Late Night Tales,3.3,Electronic,12
Hello,Oasis,Whats The Story Morning Glory,2.03,Rock,13
Roll With It,Oasis,Whats The Story Morning Glory,2.39,Rock,14
Wonderwall,Oasis,Whats The Story Morning Glory,2.58,Rock,15
Dont Look Back In Anger,Oasis,Whats The Story Morning Glory,2.87,Rock,16
Hey Now,Oasis,Whats The Story Morning Glory,3.41,Rock,17
Some Might Say,Oasis,Whats The Story Morning Glory,3.28,Rock,18
Cast No Shadow,Oasis,Whats The Story Morning Glory,2.91,Rock,19
Shes Electric,Oasis,Whats The Story Morning Glory,2.2,Rock,20
Morning Glory,Oasis,Whats The Story Morning Glory,3.03,Rock,21
Champagne Supernova,Oasis,Whats The Story Morning Glory,4.5,Rock,22
Polygon Window,Aphex Twin,Surfing On Sine Waves,3.28,Unknown,23
Audax Powder,Aphex Twin,Surfing On Sine Waves,2.8,Unknown,24
Quoth,Aphex Twin,Surfing On Sine Waves,3.37,Unknown,25
If It Really Is Me,Aphex Twin,Surfing On Sine Waves,4.23,Unknown,26
Supremacy II,Aphex Twin,Surfing On Sine Waves,2.47,Unknown,27
UT1 Dot,Aphex Twin,Surfing On Sine Waves,3.2,Unknown,28
Seven,Aphex Twin,Surfing On Sine Waves,3.85,Unknown,29
Quixote,Aphex Twin,Surfing On Sine Waves,3.63,Unknown,30
Quino Phec,Aphex Twin,Surfing On Sine Waves,2.84,Unknown,31
Portreath Harbour,Aphex Twin,Surfing On Sine Waves,2.84,Unknown,32
Redruth School,Aphex Twin,Surfing On Sine Waves,1.63,Unknown,33
Cant Sleep,Above Beyond,10 Years Of Anjunabeats Mixed By Above Beyond,5.57,Trance,34
Cant Sleep Super8 Tab Remix,Above Beyond,10 Years Of Anjunabeats Mixed By Above Beyond,4.65,Trance,35
Dont Stop Believin,Journey,101 Driving Songs Disc 1,2.49,Unknown,36
Tocas Miracle 08 Inpetto Uk R,Fragma,101 Trance Anthems,1.97,Trance,37
Green Valley,Calvin Harris,18 Months Deluxe Edition,1.09,Dance,38
Bounce feat Kelis Radio Edit,Calvin Harris,18 Months Deluxe Edition,2.22,Dance,39
Feel So Close Radio Edit,Calvin Harris,18 Months Deluxe Edition,2.06,Dance,40
We Found Love feat Rihanna,Calvin Harris,18 Months Deluxe Edition,2.15,Dance,41
Well Be Coming Back feat Example,Calvin Harris,18 Months Deluxe Edition,2.34,Dance,42
Mansion,Calvin Harris,18 Months Deluxe Edition,1.27,Dance,43
